Fecha,Latencia (ms),Estado
2025-06-16 21:52:13,6,Baja Latencia
2025-06-16 21:52:15,1028,Latencia Alta
2025-06-16 21:52:17,21,Baja Latencia
2025-06-16 21:52:20,996,Latencia Alta
2025-06-16 21:52:21,364,Latencia Alta
2025-06-16 21:52:25,7,Baja Latencia

2025-06-16 21:52:30,340,Latencia Alta
2025-06-16 21:52:30,340,Latencia Alta
2025-06-16 21:52:34,657,Latencia Alta
2025-06-16 21:52:38,16,Baja Latencia
2025-06-16 21:52:38,20,Baja Latencia
2025-06-16 21:52:43,282,Latencia Alta
2025-06-16 21:52:43,282,Latencia Alta
2025-06-16 21:52:47,732,Latencia Alta
2025-06-16 21:52:52,261,Latencia Alta
2025-06-16 21:52:56,761,Latencia Alta
2025-06-16 21:52:56,763,Latencia Alta
2025-06-16 21:53:02,1002,Latencia Alta
2025-06-16 21:53:07,1008,Latencia Alta
2025-06-16 21:53:12,1010,Latencia Alta
2025-06-16 21:53:16,223,Latencia Alta
2025-06-16 21:53:16,223,Latencia Alta
2025-06-16 21:53:21,609,Latencia Alta
2025-06-16 21:53:21,600,Latencia Alta
2025-06-16 21:53:25,118,Latencia Moderada
2025-06-16 21:53:29,65,Baja Latencia
2025-06-16 21:53:29,64,Baja Latencia
2025-06-16 21:53:34,1002,Latencia Alta
2025-06-16 21:53:34,1002,Latencia Alta
2025-06-16 21:53:38,19,Baja Latencia
2025-06-16 21:53:43,710,Latencia Alta
2025-06-16 21:53:47,228,Latencia Alta
2025-06-16 21:53:47,231,Latencia Alta
2025-06-16 21:53:51,9,Baja Latencia
2025-06-16 21:53:52,685,Latencia Alta
2025-06-16 21:53:56,966,Latencia Alta
2025-06-16 21:54:00,52,Baja Latencia
2025-06-16 21:54:05,1009,Latencia Alta
2025-06-16 21:54:10,518,Latencia Alta
2025-06-16 21:54:10,518,Latencia Alta
2025-06-16 21:54:14,261,Latencia Alta
2025-06-16 21:54:18,165,Latencia Moderada
2025-06-16 21:54:18,164,Latencia Moderada
2025-06-16 21:54:23,1092,Latencia Alta
2025-06-16 21:54:28,261,Latencia Alta
2025-06-16 21:54:28,260,Latencia Alta
2025-06-16 21:54:32,424,Latencia Alta
2025-06-16 21:54:32,424,Latencia Alta
2025-06-16 21:54:36,341,Latencia Alta
2025-06-16 21:54:36,342,Latencia Alta
2025-06-16 21:54:41,712,Latencia Alta
2025-06-16 21:54:45,77,Baja Latencia
2025-06-16 21:54:45,73,Baja Latencia
2025-06-16 21:54:50,176,Latencia Moderada
2025-06-16 21:54:54,7,Baja Latencia
2025-06-16 21:54:54,9,Baja Latencia
2025-06-16 21:54:58,33,Baja Latencia
2025-06-16 21:55:03,1010,Latencia Alta
2025-06-16 21:55:08,814,Latencia Alta
2025-06-16 21:55:08,816,Latencia Alta
2025-06-16 21:55:12,161,Latencia Moderada
2025-06-16 21:55:16,18,Baja Latencia
2025-06-16 21:55:21,692,Latencia Alta
2025-06-16 21:55:21,692,Latencia Alta
2025-06-16 21:55:25,2,Baja Latencia
2025-06-16 21:55:25,4,Baja Latencia
2025-06-16 21:55:29,414,Latencia Alta
2025-06-16 21:55:34,710,Latencia Alta
2025-06-16 21:55:34,710,Latencia Alta
2025-06-16 21:55:38,9,Baja Latencia
2025-06-16 21:55:38,9,Baja Latencia
2025-06-16 21:55:42,7,Baja Latencia
2025-06-16 21:55:47,1011,Latencia Alta
2025-06-16 21:55:47,1011,Latencia Alta
2025-06-16 21:55:52,546,Latencia Alta
2025-06-16 21:55:56,68,Baja Latencia
2025-06-16 21:55:56,68,Baja Latencia
2025-06-16 21:56:00,383,Latencia Alta
2025-06-16 21:56:00,382,Latencia Alta
2025-06-16 21:56:05,270,Latencia Alta
2025-06-16 21:56:05,270,Latencia Alta
2025-06-16 21:56:09,628,Latencia Alta
2025-06-16 21:56:13,2,Baja Latencia
2025-06-16 21:56:13,116,Latencia Moderada
2025-06-16 21:56:18,579,Latencia Alta
2025-06-16 21:56:22,248,Latencia Alta
2025-06-16 21:56:22,248,Latencia Alta
2025-06-16 21:56:27,302,Latencia Alta
2025-06-16 21:56:32,1009,Latencia Alta
2025-06-16 21:56:36,5,Baja Latencia
2025-06-16 21:56:36,4,Baja Latencia
2025-06-16 21:56:40,15,Baja Latencia
2025-06-16 21:56:41,1014,Latencia Alta
2025-06-16 21:56:45,937,Latencia Alta
2025-06-16 21:56:45,385,Latencia Alta
2025-06-16 21:56:49,87,Baja Latencia
2025-06-16 21:56:49,98,Baja Latencia
2025-06-16 21:56:53,85,Baja Latencia
2025-06-16 21:56:53,564,Latencia Alta
2025-06-16 21:56:58,442,Latencia Alta
2025-06-16 21:56:58,440,Latencia Alta
2025-06-16 21:57:03,779,Latencia Alta
2025-06-16 21:57:07,240,Latencia Alta
2025-06-16 21:57:12,787,Latencia Alta
2025-06-16 21:57:16,16,Baja Latencia
2025-06-16 21:57:16,16,Baja Latencia
2025-06-16 21:57:20,58,Baja Latencia
2025-06-16 21:57:24,143,Latencia Moderada
2025-06-16 21:57:24,143,Latencia Moderada
2025-06-16 21:57:28,188,Latencia Moderada
2025-06-16 21:57:32,43,Baja Latencia
2025-06-16 21:57:37,66,Baja Latencia
2025-06-16 21:57:37,64,Baja Latencia
2025-06-16 21:57:41,33,Baja Latencia
2025-06-16 21:57:45,37,Baja Latencia
2025-06-16 21:57:49,170,Latencia Moderada
2025-06-16 21:57:53,315,Latencia Alta
2025-06-16 21:57:53,316,Latencia Alta
2025-06-16 21:57:57,175,Latencia Moderada
2025-06-16 21:58:02,252,Latencia Alta
2025-06-16 21:58:02,252,Latencia Alta
2025-06-16 21:58:07,732,Latencia Alta
2025-06-16 21:58:07,732,Latencia Alta
2025-06-16 21:58:11,27,Baja Latencia
2025-06-16 21:58:11,27,Baja Latencia
2025-06-16 21:58:15,850,Latencia Alta
2025-06-16 21:58:15,850,Latencia Alta
2025-06-16 21:58:20,127,Latencia Moderada
2025-06-16 21:58:24,39,Baja Latencia
2025-06-16 21:58:24,43,Baja Latencia
2025-06-16 21:58:28,4,Baja Latencia
2025-06-16 21:58:32,5,Baja Latencia
2025-06-16 21:58:36,312,Latencia Alta
2025-06-16 21:58:36,312,Latencia Alta
2025-06-16 21:58:41,491,Latencia Alta
2025-06-16 21:58:41,491,Latencia Alta
2025-06-16 21:58:45,65,Baja Latencia
2025-06-16 21:58:45,65,Baja Latencia
2025-06-16 21:58:49,58,Baja Latencia
2025-06-16 21:58:49,58,Baja Latencia
2025-06-16 21:58:53,100,Baja Latencia
2025-06-16 21:58:57,78,Baja Latencia
2025-06-16 21:59:01,86,Baja Latencia
2025-06-16 21:59:01,87,Baja Latencia
2025-06-16 21:59:05,2,Baja Latencia
2025-06-16 21:59:05,2,Baja Latencia
2025-06-16 21:59:10,375,Latencia Alta
2025-06-16 21:59:10,375,Latencia Alta
2025-06-16 21:59:14,4,Baja Latencia
2025-06-16 21:59:14,366,Latencia Alta
2025-06-16 21:59:18,174,Latencia Moderada
2025-06-16 21:59:19,448,Latencia Alta
2025-06-16 21:59:22,184,Latencia Moderada
2025-06-16 21:59:23,581,Latencia Alta
2025-06-16 21:59:26,40,Baja Latencia
2025-06-16 21:59:27,11,Baja Latencia
2025-06-16 21:59:31,433,Latencia Alta
2025-06-16 21:59:32,355,Latencia Alta
2025-06-16 21:59:35,74,Baja Latencia
2025-06-16 21:59:36,698,Latencia Alta
2025-06-16 21:59:39,361,Latencia Alta
2025-06-16 21:59:41,325,Latencia Alta
2025-06-16 21:59:44,6,Baja Latencia
2025-06-16 21:59:45,304,Latencia Alta
2025-06-16 21:59:48,410,Latencia Alta
2025-06-16 21:59:49,151,Latencia Moderada
2025-06-16 21:59:52,27,Baja Latencia
2025-06-16 21:59:54,50,Baja Latencia
2025-06-16 21:59:56,20,Baja Latencia
2025-06-16 21:59:58,58,Baja Latencia
2025-06-16 22:00:01,428,Latencia Alta
2025-06-16 22:00:02,373,Latencia Alta
2025-06-16 22:00:05,3,Baja Latencia
2025-06-16 22:00:06,272,Latencia Alta
2025-06-16 22:00:09,43,Baja Latencia
2025-06-16 22:00:11,300,Latencia Alta
2025-06-16 22:00:13,43,Baja Latencia
2025-06-16 22:00:15,308,Latencia Alta
2025-06-16 22:00:18,745,Latencia Alta
2025-06-16 22:00:19,290,Latencia Alta
2025-06-16 22:00:22,275,Latencia Alta
2025-06-16 22:00:24,388,Latencia Alta
2025-06-16 22:00:26,122,Latencia Moderada
2025-06-16 22:00:28,483,Latencia Alta
2025-06-16 22:00:30,174,Latencia Moderada
2025-06-16 22:00:33,435,Latencia Alta
2025-06-16 22:00:35,627,Latencia Alta
2025-06-16 22:00:37,103,Latencia Moderada
2025-06-16 22:00:40,631,Latencia Alta
2025-06-16 22:00:42,700,Latencia Alta
2025-06-16 22:00:44,124,Latencia Moderada
2025-06-16 22:00:46,329,Latencia Alta
2025-06-16 22:00:48,21,Baja Latencia
2025-06-16 22:00:50,108,Latencia Moderada
2025-06-16 22:00:52,30,Baja Latencia
2025-06-16 22:00:55,423,Latencia Alta
2025-06-16 22:00:56,69,Baja Latencia
2025-06-16 22:00:59,488,Latencia Alta
2025-06-16 22:01:01,1189,Latencia Alta
2025-06-16 22:01:04,987,Latencia Alta
2025-06-16 22:01:05,30,Baja Latencia
2025-06-16 22:01:09,199,Latencia Moderada
2025-06-16 22:01:10,203,Latencia Alta
2025-06-16 22:01:13,609,Latencia Alta
2025-06-16 22:01:14,6,Baja Latencia
2025-06-16 22:01:18,1072,Latencia Alta
2025-06-16 22:01:18,577,Latencia Alta
2025-06-16 22:01:22,160,Latencia Moderada
2025-06-16 22:01:22,160,Latencia Moderada
2025-06-16 22:01:27,625,Latencia Alta
2025-06-16 22:01:27,625,Latencia Alta
2025-06-16 22:01:31,3,Baja Latencia
2025-06-16 22:01:31,3,Baja Latencia
2025-06-16 22:01:35,72,Baja Latencia
2025-06-16 22:01:35,72,Baja Latencia
2025-06-16 22:01:40,247,Latencia Alta
2025-06-16 22:01:40,247,Latencia Alta
2025-06-16 22:01:44,91,Baja Latencia
2025-06-16 22:01:48,688,Latencia Alta
2025-06-16 22:01:53,326,Latencia Alta
2025-06-16 22:01:58,689,Latencia Alta
2025-06-16 22:02:02,204,Latencia Alta
2025-06-16 22:02:02,204,Latencia Alta
2025-06-16 22:02:06,128,Latencia Moderada
2025-06-16 22:02:06,127,Latencia Moderada
2025-06-16 22:02:10,14,Baja Latencia
2025-06-16 22:02:10,14,Baja Latencia
2025-06-16 22:02:14,253,Latencia Alta
2025-06-16 22:02:18,11,Baja Latencia
2025-06-16 22:02:22,54,Baja Latencia
2025-06-16 22:02:26,26,Baja Latencia
2025-06-16 22:02:31,734,Latencia Alta
2025-06-16 22:02:35,15,Baja Latencia
2025-06-16 22:02:35,15,Baja Latencia
2025-06-16 22:02:39,21,Baja Latencia
2025-06-16 22:02:43,17,Baja Latencia
2025-06-16 22:02:43,17,Baja Latencia
2025-06-16 22:02:47,8,Baja Latencia
2025-06-16 22:02:47,9,Baja Latencia
2025-06-16 22:02:51,14,Baja Latencia
2025-06-16 22:02:55,20,Baja Latencia
2025-06-16 22:02:55,19,Baja Latencia
2025-06-16 22:02:59,18,Baja Latencia
2025-06-16 22:02:59,18,Baja Latencia
2025-06-16 22:03:03,16,Baja Latencia
2025-06-16 22:03:03,19,Baja Latencia
2025-06-16 22:03:08,4,Baja Latencia
2025-06-16 22:03:12,28,Baja Latencia
2025-06-16 22:03:12,28,Baja Latencia
2025-06-16 22:03:16,14,Baja Latencia
2025-06-16 22:03:16,14,Baja Latencia
2025-06-16 22:03:20,5,Baja Latencia
2025-06-16 22:03:20,5,Baja Latencia
2025-06-16 22:03:24,33,Baja Latencia
2025-06-16 22:03:24,33,Baja Latencia
2025-06-16 22:03:28,20,Baja Latencia
2025-06-16 22:03:28,20,Baja Latencia
2025-06-16 22:03:32,20,Baja Latencia
2025-06-16 22:03:36,646,Latencia Alta
2025-06-16 22:03:36,644,Latencia Alta
2025-06-16 22:03:41,181,Latencia Moderada
2025-06-16 22:03:41,185,Latencia Moderada
2025-06-16 22:03:45,4,Baja Latencia
2025-06-16 22:03:45,4,Baja Latencia
2025-06-16 22:03:49,36,Baja Latencia
2025-06-16 22:03:53,58,Baja Latencia
2025-06-16 22:03:53,60,Baja Latencia
2025-06-16 22:03:57,362,Latencia Alta
2025-06-16 22:04:02,375,Latencia Alta
2025-06-16 22:04:02,374,Latencia Alta
2025-06-16 22:04:06,6,Baja Latencia
2025-06-16 22:04:10,4,Baja Latencia
2025-06-16 22:04:10,405,Latencia Alta
2025-06-16 22:04:14,340,Latencia Alta
2025-06-16 22:04:14,71,Baja Latencia
2025-06-16 22:04:18,23,Baja Latencia
2025-06-16 22:04:18,188,Latencia Moderada
2025-06-16 22:04:22,82,Baja Latencia
2025-06-16 22:04:23,796,Latencia Alta
2025-06-16 22:04:26,22,Baja Latencia
2025-06-16 22:04:27,19,Baja Latencia
2025-06-16 22:04:30,22,Baja Latencia
2025-06-16 22:04:31,17,Baja Latencia
2025-06-16 22:04:34,83,Baja Latencia
2025-06-16 22:04:35,17,Baja Latencia
2025-06-16 22:04:39,278,Latencia Alta
2025-06-16 22:04:39,51,Baja Latencia
2025-06-16 22:04:43,711,Latencia Alta
2025-06-16 22:04:44,307,Latencia Alta
2025-06-16 22:04:48,15,Baja Latencia
2025-06-16 22:04:49,711,Latencia Alta
2025-06-16 22:04:52,21,Baja Latencia
2025-06-16 22:04:53,2,Baja Latencia
2025-06-16 22:04:56,17,Baja Latencia
2025-06-16 22:04:57,45,Baja Latencia
2025-06-16 22:05:00,495,Latencia Alta
2025-06-16 22:05:01,15,Baja Latencia
2025-06-16 22:05:05,550,Latencia Alta
2025-06-16 22:05:05,390,Latencia Alta
2025-06-16 22:05:09,18,Baja Latencia
2025-06-16 22:05:09,194,Latencia Moderada
2025-06-16 22:05:13,21,Baja Latencia
2025-06-16 22:05:14,479,Latencia Alta
2025-06-16 22:05:17,19,Baja Latencia
2025-06-16 22:05:18,21,Baja Latencia
2025-06-16 22:05:21,22,Baja Latencia
2025-06-16 22:05:22,21,Baja Latencia
2025-06-16 22:05:25,23,Baja Latencia
2025-06-16 22:05:26,19,Baja Latencia
2025-06-16 22:05:29,24,Baja Latencia
2025-06-16 22:05:30,19,Baja Latencia
2025-06-16 22:05:34,12,Baja Latencia
2025-06-16 22:05:34,1025,Latencia Alta
2025-06-16 22:05:38,21,Baja Latencia
2025-06-16 22:05:42,15,Baja Latencia
2025-06-16 22:05:46,20,Baja Latencia
2025-06-16 22:05:50,18,Baja Latencia
2025-06-16 22:05:54,17,Baja Latencia
2025-06-16 22:05:58,16,Baja Latencia
2025-06-16 22:06:02,117,Latencia Moderada
2025-06-16 22:06:07,310,Latencia Alta
2025-06-16 22:06:11,741,Latencia Alta
2025-06-16 22:06:16,739,Latencia Alta
2025-06-16 22:06:16,739,Latencia Alta
2025-06-16 22:06:20,170,Latencia Moderada
2025-06-16 22:06:24,20,Baja Latencia
2025-06-16 22:06:24,20,Baja Latencia
2025-06-16 22:06:29,94,Baja Latencia
2025-06-16 22:06:33,59,Baja Latencia
2025-06-16 22:06:37,225,Latencia Alta
2025-06-16 22:06:42,725,Latencia Alta
2025-06-16 22:06:42,725,Latencia Alta
2025-06-16 22:06:46,15,Baja Latencia
2025-06-16 22:06:47,1021,Latencia Alta
2025-06-16 22:06:50,13,Baja Latencia
2025-06-16 22:06:51,18,Baja Latencia
2025-06-16 22:06:54,21,Baja Latencia
2025-06-16 22:06:55,15,Baja Latencia
2025-06-16 22:06:58,45,Baja Latencia
2025-06-16 22:06:59,2,Baja Latencia
2025-06-16 22:07:02,242,Latencia Alta
2025-06-16 22:07:03,31,Baja Latencia
2025-06-16 22:07:06,54,Baja Latencia
2025-06-16 22:07:07,20,Baja Latencia
2025-06-16 22:07:11,745,Latencia Alta
2025-06-16 22:07:12,957,Latencia Alta
2025-06-16 22:07:15,3,Baja Latencia
2025-06-16 22:07:16,99,Baja Latencia
2025-06-16 22:07:19,25,Baja Latencia
2025-06-16 22:07:20,13,Baja Latencia
2025-06-16 22:07:24,185,Latencia Moderada
2025-06-16 22:07:24,1188,Latencia Alta
2025-06-16 22:07:28,145,Latencia Moderada
2025-06-16 22:07:33,136,Latencia Moderada
2025-06-16 22:07:33,136,Latencia Moderada
2025-06-16 22:07:37,374,Latencia Alta
2025-06-16 22:07:37,374,Latencia Alta
2025-06-16 22:07:41,15,Baja Latencia
2025-06-16 22:07:45,263,Latencia Alta
2025-06-16 22:07:45,263,Latencia Alta
2025-06-16 22:07:49,33,Baja Latencia
2025-06-16 22:07:49,33,Baja Latencia
2025-06-16 22:07:54,354,Latencia Alta
2025-06-16 22:07:58,296,Latencia Alta
2025-06-16 22:08:02,122,Latencia Moderada
2025-06-16 22:08:06,295,Latencia Alta
2025-06-16 22:08:11,16,Baja Latencia
2025-06-16 22:08:15,22,Baja Latencia
2025-06-16 22:08:15,22,Baja Latencia
2025-06-16 22:08:19,16,Baja Latencia
2025-06-16 22:08:19,16,Baja Latencia
2025-06-16 22:08:23,12,Baja Latencia
2025-06-16 22:08:23,12,Baja Latencia
2025-06-16 22:08:27,17,Baja Latencia
2025-06-16 22:08:27,18,Baja Latencia
2025-06-16 22:08:31,9,Baja Latencia

2025-06-16 22:08:35,27,Baja Latencia
2025-06-16 22:08:39,3,Baja Latencia
2025-06-16 22:08:39,7,Baja Latencia
2025-06-16 22:08:44,936,Latencia Alta
2025-06-16 22:08:49,1030,Latencia Alta
2025-06-16 22:08:51,267,Latencia Alta
2025-06-16 22:08:53,298,Latencia Alta
2025-06-16 22:08:56,1009,Latencia Alta
2025-06-16 22:08:57,58,Baja Latencia
2025-06-16 22:09:00,321,Latencia Alta
2025-06-16 22:09:02,333,Latencia Alta
2025-06-16 22:09:05,723,Latencia Alta
2025-06-16 22:09:06,346,Latencia Alta
2025-06-16 22:09:10,1044,Latencia Alta
2025-06-16 22:09:11,986,Latencia Alta
2025-06-16 22:09:15,557,Latencia Alta
2025-06-16 22:09:15,25,Baja Latencia
2025-06-16 22:09:19,428,Latencia Alta
2025-06-16 22:09:20,1007,Latencia Alta
2025-06-16 22:09:23,25,Baja Latencia
2025-06-16 22:09:24,22,Baja Latencia
2025-06-16 22:09:28,1019,Latencia Alta
2025-06-16 22:09:29,1058,Latencia Alta
2025-06-16 22:09:32,21,Baja Latencia
2025-06-16 22:09:34,250,Latencia Alta
2025-06-16 22:09:36,18,Baja Latencia
2025-06-16 22:09:38,70,Baja Latencia
2025-06-16 22:09:41,303,Latencia Alta
2025-06-16 22:09:42,721,Latencia Alta
2025-06-16 22:09:45,68,Baja Latencia
2025-06-16 22:09:46,21,Baja Latencia
2025-06-16 22:09:49,16,Baja Latencia
2025-06-16 22:09:51,21,Baja Latencia
2025-06-16 22:09:53,619,Latencia Alta
2025-06-16 22:09:56,1044,Latencia Alta
2025-06-16 22:09:58,106,Latencia Moderada
2025-06-16 22:10:01,1030,Latencia Alta
2025-06-16 22:10:03,1025,Latencia Alta
2025-06-16 22:10:06,959,Latencia Alta
2025-06-16 22:10:07,369,Latencia Alta
2025-06-16 22:10:11,1026,Latencia Alta
2025-06-16 22:10:11,237,Latencia Alta
2025-06-16 22:10:15,20,Baja Latencia
2025-06-16 22:10:16,461,Latencia Alta
2025-06-16 22:10:19,22,Baja Latencia
2025-06-16 22:10:21,1027,Latencia Alta
2025-06-16 22:10:23,19,Baja Latencia
2025-06-16 22:10:26,1029,Latencia Alta
2025-06-16 22:10:27,21,Baja Latencia
2025-06-16 22:10:30,17,Baja Latencia
2025-06-16 22:10:31,22,Baja Latencia
2025-06-16 22:10:34,20,Baja Latencia
2025-06-16 22:10:35,14,Baja Latencia
2025-06-16 22:10:38,29,Baja Latencia
2025-06-16 22:10:39,35,Baja Latencia
2025-06-16 22:10:42,372,Latencia Alta
2025-06-16 22:10:43,85,Baja Latencia
2025-06-16 22:10:47,378,Latencia Alta
2025-06-16 22:10:48,636,Latencia Alta
2025-06-16 22:10:51,63,Baja Latencia
2025-06-16 22:10:52,13,Baja Latencia
2025-06-16 22:10:55,70,Baja Latencia
2025-06-16 22:10:56,307,Latencia Alta
2025-06-16 22:10:59,200,Latencia Moderada
2025-06-16 22:11:03,22,Baja Latencia
2025-06-16 22:11:08,268,Latencia Alta
2025-06-16 22:11:08,57,Baja Latencia
2025-06-16 22:11:12,63,Baja Latencia
2025-06-16 22:11:12,16,Baja Latencia
2025-06-16 22:11:16,43,Baja Latencia
2025-06-16 22:11:16,30,Baja Latencia
2025-06-16 22:11:20,28,Baja Latencia
2025-06-16 22:11:20,28,Baja Latencia
2025-06-16 22:11:24,341,Latencia Alta
2025-06-16 22:11:24,101,Latencia Moderada
2025-06-16 22:11:28,81,Baja Latencia
2025-06-16 22:11:28,4,Baja Latencia
2025-06-16 22:11:32,75,Baja Latencia
2025-06-16 22:11:33,2,Baja Latencia
2025-06-16 22:11:36,3,Baja Latencia
2025-06-16 22:11:37,39,Baja Latencia
2025-06-16 22:11:40,76,Baja Latencia
2025-06-16 22:11:41,19,Baja Latencia
2025-06-16 22:11:44,18,Baja Latencia
2025-06-16 22:11:45,27,Baja Latencia
2025-06-16 22:11:49,109,Latencia Moderada
2025-06-16 22:11:49,7,Baja Latencia
2025-06-16 22:11:53,131,Latencia Moderada
2025-06-16 22:11:57,14,Baja Latencia
2025-06-16 22:12:01,18,Baja Latencia
2025-06-16 22:12:01,18,Baja Latencia
2025-06-16 22:12:05,17,Baja Latencia
2025-06-16 22:12:09,5,Baja Latencia
